City,Attack,Target
Santiago,3,4
Urrao,9,14
Urrao,2,14
Mutata,2,14
Londonderry,1,4
Athens,1,1
Urrao,2,4
Kalinga Apayao,2,4
Dover,7,12
Bogota,1,17
Santo Domingo,2,4
Santo Domingo,2,14
Brussels,3,1
Santiago,2,19
Santiago,2,19
Londonderry,1,4
Parana,1,2
Santiago,3,13
Punjab,3,19
Hormiga,1,3
Lima,1,3
Basud,9,4
Ayacucho,2,3
Mullaittivu,1,4
Solsona,9,14
Batticalia,2,3
Athens,4,6
Mullaitiiri,3,4
Batticaloa,3,3
Frankfurt,3,4
Pasajes,1,3
Batti Calia,1,3
Kokkilai,1,4
Santiago,3,7
Santiago,3,4
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Concepcion,3,2
Concepcion,3,3
Santiago,3,1
Santiago,3,8
Valparaiso,3,10
Concepcion,3,1
Talcahuano,3,3
Talcahuano,3,1
Lima,1,3
Jaffna,1,14
Caramanta,2,1
La Corona,3,4
San Jose del Las Vegas,2,4
Cara de Mono,7,1
San Jose de La Vega,2,4
Boaco Viejo,7,2
Lima,3,21
Tingo Maria,2,3
Donostia-San Sebastian,2,4
Soutpansberg,3,1
Soutspansberg,3,14
Soutpansberg,3,14
Santiago,3,4
Santiago,7,19
Santiago,7,19
Athens,3,1
on the Farm Nuweulus,1,4
Donostia-San Sebastian,1,4
Guillerna,2,3
Lasarte,1,3
Batticoloa,6,15
Soutpansberg,3,4
Jezzine,3,4
Amritsar,1,15
La Victoria,6,2
Soutpansberg,3,4
Noumea,3,10
San Juan de Arama,1,2
Punjab,1,3
Secunda,3,21
Vitoria,3,3
Vitoria,3,3
Santiago,3,19
Tokyo,7,19
"Lopez, Quezon",1,8
London,1,1
Uraba,3,4
Cali,2,3
El Bague,2,4
Bogota,5,10
Kilkeel,3,4
Washington,7,12
Luxembourg,3,21
Panama border,9,4
Cali,3,14
Las Canas,2,4
Belfast,2,14
Izarra,2,3
Turbo,3,13
Aucayacu,1,2
Batticaloa,1,3
Turbo,2,4
Gen. Santos City,9,14
Valparaiso,3,1
Qullota,3,19
Santiago,3,4
Santiago,3,1
Santiago,3,7
Santiago,3,19
Santiago,3,1
Santiago,3,13
Santiago,3,1
Noumea,1,2
Zaragoza,2,3
Cali,2,4
Mulukuku,3,4
Bilampi,3,4
Bilampi,2,4
Cano Guayabo,2,4
San Jeronimo,2,4
La Libertad,2,4
Bambusa,2,4
Cana de Castilla,2,4
Nuevo Horizonte,2,4
El Ayote,2,4
La Sirena,2,4
San Jose de Bocay,2,4
San Pedro de Los Angeles,2,4
Valle Los Guindos,2,4
Los Nogales,2,4
Himamaylan town in Negros Island,5,1
Portland,3,5
Portland,3,5
Beaverton,3,5
Forest Grove,3,5
Valparaiso,2,19
Santiago,3,19
Luxembourg,1,1
Noumea,3,2
Trincomalee,1,20
Santa Tecla,2,2
Miraflores,2,4
Los Planes,2,4
El Corozo,2,4
Lome,3,14
Tokoin,3,19
Antwerp,3,1
Santiago,3,1
Bargued,1,2
Wiwili,2,1
Wortegem,3,21
Brussels,3,21
Liege,3,2
Marseilles,3,14
Versailles,3,2
Bogota,3,4
Wiwili,2,4
Bogota,2,4
Arrasate,1,3
Mindanao,6,2
Soweto,3,3
Bogota,3,2
Paris,3,1
Paris,3,1
Loreto,9,1
Durban,3,2
Chesterville,3,3
Songo,3,21
Santiago,1,3
Ballygawley,3,3
Santiago,3,19
Galeras,9,14
Acobamba,2,4
Paez,6,1
New York City,3,5
Rio Lempa,3,21
Rio Lempa,3,21
Rio Lempa,3,21
Rio Lempa,3,21
Paranthan,1,4
Pena Colorada,2,4
Guazapa,2,4
El Chuptal,2,4
Oru,6,1
Orie,6,1
Sacramento,3,1
Messina,3,4
Maradana,3,19
Valletta,3,7
Concepcion,1,14
Palin,1,8
Jaffna,3,4
Stuttgart,3,19
Santiago,3,19
Medio Mundo,2,1
Medio Mundo,2,1
Messina,3,4
Santiago,3,4
Usulutan,3,21
San Miguel,3,21
Ocro (Huarauco Dept),1,20
Tocache village (Huanauco Dept),1,1
Bosa,2,3
Bugnay and Tabrak,9,4
Chiawelo,9,3
Messina,3,14
Barcelona,3,16
Barcelona,3,3
Vienna,3,14
Messina,1,14
Los Cerritos,2,2
San Pedro,2,2
Samal,9,4
Puente Alto,3,19
Agua Chica,6,2
Agua Chiza,6,1
Agua Chica,6,1
Chatsworth,3,2
Durban,3,18
Unknown,9,4
Santiago,3,21
Santiago,3,21
San Rafael cedros,3,21
Turbo,5,6
Munai,3,4
El Lloron,2,4
Valle Grande,2,4
Umlazi,3,1
Ulichchi,3,2
Komatipoort,1,1
Chalatenango,2,4
Nuevo Antiquia,6,14
Chicalyoc,1,2
Suchitoto,2,3
Unknown,2,4
Castlederg,3,3
Colombo,9,4
Wiepe,3,4
Okahao,3,13
Buenos Aires,1,4
Ojatunrumi,2,14
Chilcayoc,2,14
Mindanao,6,1
Messina,3,4
El Cacao,2,1
Bodas de Blis,2,4
Wiwili,2,4
Paiwas,2,4
Xecoxo,2,4
Lima,3,1
Lima,3,4
Lima,3,1
Lima,3,1
Lima,3,1
Lisbon,3,6
Amanzimtoti,3,14
Amanzimtoti,3,14
Lenasia,7,14
Lenasia,7,12
Cordoba,3,1
La Plata,3,14
San Martin,1,4
Medellin,1,2
Pamplona,1,3
Huambo,9,14
Xepac,2,4
Tel Aviv,7,1
Amanzimtoti,3,14
Lima,3,21
Lima,3,6
Laredo,3,13
Lima,3,1
Lima,3,1
Callao,3,1
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,13
Lima,3,13
The Hague,3,1
"Bocaue, Bulacan",1,3
Huamboto Huila Road,9,14
Lima,3,1
Lima,3,14
Millaitivu,9,1
Unknown,3,21
Lome,3,8
Angeles City,1,1
Planeta Rica,2,2
Quebrada del Clavo,2,4
El Saito de la Hoya,2,4
Wiwili,2,4
Chaclacayo,3,1
Manapla,9,4
Vienna,3,6
Rome,3,6
Ayacucho,3,3
Turkuran,2,4
mannar,2,4
Paris,3,15
Pacllon,1,2
Durban,3,13
Bilbao,3,3
Ongoy,1,2
San Pedal de Huaylla,1,2
Banaue,1,4
Vijes,2,1
Lasarte,1,1
Bilbao,6,14
Cincinnati,7,5
Cincinnati,7,5
Unknown,9,21
Toledo,7,5
Unknown,6,14
Paris,3,15
Jerusalem,3,4
Ayacucho,3,21
Ayacucho,3,21
Lima,3,19
Lima,3,14
Lima,3,14
El Porton,2,4
Huaytuna,2,14
Lima,2,2
Aguas Blancas,1,2
Armagh,3,20
Unknown,8,1
Chiclayo,5,10
Lima,3,2
Capillac,3,21
Capillac,3,21
Huaytuna,2,14
Bintawan,6,2
Huanta,3,21
Huanta,3,21
Huaraz,1,2
Ellisras,3,14
Ellisras,3,14
Oviedo,3,1
Jaffra,3,1
Huaraz,3,2
Quero Juanan,2,14
Huaraz,8,2
Jaffna,3,4
Chihua,6,4
Chihua,6,13
Pamplona,6,14
San Jose de Secce,3,4
Stockpoort,3,4
Belfast,7,3
Bilbao,3,1
Bilbao,3,1
East London,9,3
Guanica,3,2
Cidra,3,2
Toa Baja,3,4
San Juan,3,2
Lima,3,2
Punjab,1,1
Amritsan,2,7
Jullundun District,1,20
"Bararggay Panginay, Balagtas, Bulacar",1,3
Boston,3,1
East London,9,3
San Cayetano,2,4
Santa Maria,2,4
Ayacucho,2,3
Leche Mayo,2,3
Huancaray,7,21
Ayacucho,2,4
Ayacucho,1,3
"Bagong Bayan, Daraga",1,3
Soweto,3,3
Pretoria,3,21
Cerro Chichipi,2,4
La Lapa,2,4
San Jose de Bocay,2,4
Trincomalee,3,3
Bogota,1,3
Manila,1,14
Durban,3,21
Beirut,1,2
Juayua,3,14
La Cruz,3,19
Cano Tontera,2,4
Providencia,2,4
El Chapernal,2,4
Puerto Azul,2,4
Nueva Guinea,2,4
Murra,2,4
Cano Poncaya,2,4
Quisaura,2,4
Condega,2,4
Unknown,6,14
Barcelona,3,20
Mataro,3,20
Condega,2,4
Bucaramanga,1,17
Punjab,1,12
Brena,1,3
Wuppertal,3,1
Esteli,3,21
Cerro de Guazapa,2,4
Ocros,2,14
Colombo,9,3
Jaffna,9,4
Colomba,9,3
Colombia,1,7
Ancash Dept.,3,19
Pachacca,3,19
Pachacca,3,19
Pachacca,3,19
Marromeu,7,1
Huaraz,2,14
Curicanchi,3,14
Esteli,2,2
Huarihambilla,2,1
Jaffna,3,4
Esteli,6,17
Ligoniel,1,14
San Lorenzo,2,14
Donostia-San Sebastian,2,3
Castlederg,1,4
Capas Municipality,1,2
Donostia-San Sebastian,2,14
Ellisras,3,4
Soweto,3,3
Dehiwatte,3,4
Abu Dhabi,3,1
Maputo,9,19
Tigra del Sarapiqui,2,4
Tigra del Sarapiqui,2,4
Lima,5,10
Lima,3,1
Lima,3,21
Lima,3,21
Beirut,6,7
Durban,3,21
La Reina de Santiago,3,8
Westville,3,21
Silvia,6,4
Pasajes,3,3
Pasajes,3,3
Cauca Dept.,6,4
Durban,3,21
Cerro de Pasco,3,1
Cerro de Pasco,3,3
Cerro de Pasco,3,1
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Cerro de Pasco,3,14
Pasco,3,2
Cerro de Pasco,3,2
Cerro de Pasco,3,2
Cerro de Pasco,3,21
Lima,3,1
Silvia,2,4
Quito,2,1
Chimbote,5,10
Muilaitivu,6,10
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
E. Beirut,3,2
Furn al-Shubbak,3,1
Gandahab,3,15
Castrovirreyna,2,1
Matabeleland,1,14
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Santiago de Maria,3,21
Athens,3,1
Athens,3,1
Lima,3,1
Lima,3,1
Guatemala City,1,8
Lima,3,1
Cerro de Pasco,3,21
Cerro de Pasco,3,14
Cerro de Pasco,3,2
San Isidro,3,1
San Isidro,3,1
Lima,3,1
Chacarilla,3,1
Chacarilla,3,1
Chacarilla,3,1
Cochas,2,14
Lima,3,1
Navatkuli,3,3
London,1,2
Mamelodi,1,3
Kilinochchi,3,3
San Pedro de Lovago,2,14
Cerro Campana,2,4
Cerro Wawasang,2,4
Loma Wasmuk,2,4
La Trinidad,2,4
La Maravilla,2,4
Batticaloa,3,3
Cano Tipilma,2,4
Las Delicias,2,4
Sucro,2,4
San Salvador,1,2
Cano de TAWA,2,4
Wayawas,2,4
Groningen,7,4
Thiruvaiyaru,3,19
Athens,3,1
Gaza,3,14
San Jose de Bocay,2,4
Yacamali,2,4
Cano el Machete,2,4
Belfast,1,14
Randfonteir,7,14
West Rand,7,14
Vina del Mar,3,1
Yaxchilan,2,4
Tincuyo,2,14
Palomino,1,3
Lamontville,3,3
Vina del Mar,3,1
Vina del Mar,3,13
Unknown,3,4
Huanta,6,4
Paris,3,1
Paris,3,13
E. Beirut,3,2
Groningen,7,3
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,1
Lima,3,3
Morales,2,14
Belcoo,3,4
Lezo,3,3
Paris,7,1
Lima,3,19
San Juan de Miraflores,3,2
El Naranjal,3,2
Zarate,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,1
Lima,3,1
Lima,3,1
Rama,2,4
Lima,7,1
Lima,3,21
Lima,3,21
Lima,3,21
Lima,3,21
Gugulethu,3,4
Santiago,3,3
Santiago,3,21
Paris,3,1
Vina del Mar,3,21
Santiago,7,19
Santiago,7,19
Santiago,2,19
Chuatuj,2,4
Cachen Andahuaylas,6,14
Gumang Kalaveli (Punjab),1,1
Lima,1,4
Madrid,1,4
Nice,3,2
San Isidro,2,2
Simangan,2,3
Chociococha,1,2
Santa Inez,1,2
"Barangay, Dumarao",1,2
Samar,1,2
Vina del Mar,3,1
Gurdaspur,3,1
Puerto Lleras,2,4
Bayonne,2,1
Ferozepore,2,1
Antoccasa,2,14
Tehran,1,7
Athens,3,14
Karachi,3,1
Bogota,2,3
Rio Rama,2,4
Ledoy,1,2
Misamis Oriental,1,14
Umlazi,3,3
Florence,1,2
Tripoli,1,8
Amanzimtoti,3,3
Huamo,3,1
Davao Oriental Province,3,4
Maguiresbridge,1,3
Durban,3,21
Durban,3,21
Apopa,3,21
Apopa,3,21
Apopa,3,21
Bad Godesberg,3,13
Beirut,3,14
Apopa,2,4
Messina,3,4
Buenos Aires,3,1
Afuca,3,19
Haifa,3,2
Moncada,1,14
Tel Aviv,3,19
San Miguel,2,4
San Salvador,1,1
Gugulethu,3,4
Durban,3,21
De Deur,3,21
unknown,1,7
Soweto,3,3
Mamelodi,3,3
Suarez,2,4
Bogota,2,3
Santander Dept.,2,4
Meseta,2,4
Misiti,2,3
San Gerardo,2,4
Los Encuentros,2,4
Camoapa,3,4
Umaca,2,14
Iyakachchi,9,4
Beirut,1,1
Tenancingo,2,4
Unknown,6,4
Chupal,6,14
San Vincente,2,17
Tarn Taran,1,2
unknown,2,3
Zwide,9,3
Malungon,2,14
Bidarray,1,14
Lisbon,1,3
Lisbon,3,3
Bogota,2,3
Batala,9,14
Serunuwara,3,14
East London,3,19
Santiago,2,19
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
San Ramon,3,21
Ayachucho,3,21
Rome,1,2
Bataan,1,3
Bataan,1,1
Bataan,1,2
Cali,6,14
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Toroya,2,14
Armagh,3,3
Lima,3,2
Lima,2,3
Noumea,3,1
Bogota,9,7
Beirut,3,1
Namacha Border Town,9,19
Beirut,1,17
Beirut,1,2
Paris,3,4
Santa Cruz Paraiso,2,4
Santa Cruz Paraiso,2,4
Aucayacu,1,2
Bacolod,1,3
Unknown,6,1
Sidon,3,14
La Union,6,21
Jbeil Batzil,9,4
Ayaviri,3,19
Zacatecoluca,3,21
Zacatecoluca,3,21
Zacatecoluca,3,21
Zacatecoluca,3,21
Paris,3,1
Itagui,2,1
Cordoba Dept.,2,4
Villarica,2,4
Itagui,9,1
Aymaraes Province,9,14
Toraya,9,14
Zacatecoluca,2,14
Tel Aviv,3,6
Cali,3,3
Santa Ana,1,4
Amayo,6,14
"Tagum, Davao del Norte",6,17
Andrada,2,14
Vavuniya,3,14
Nablus,1,2
Ampari,6,14
Paris,3,1
Ayacucho,2,4
Carclampa,2,14
Nagadipe,3,14
Guguletu,3,3
Gugulethu,9,3
Culver City,3,2
Johannesburg,3,3
Key Ridge,3,21
Key Ridge,3,21
Durban,3,21
Sidon,3,14
Anabta,2,19
Jamundi,2,4
Bogota,2,15
Unknown,2,4
Hoima District,1,2
Jaffna,6,14
Johannesburg,7,1
Santander Dept.,2,14
Kapurthala (Punjab),9,14
Amritsar,2,15
Hayden Lake,3,1
Turbo,3,1
Arauca,3,3
El Naranjo,2,6
Croissy-sur-Seine,1,2
Jerusalem,1,4
Jerusalem,1,15
Bogota,6,20
Hillbrow,3,3
Buenos Aires,3,8
Dhaka,3,14
Dhaka,3,2
Beirut,3,22
Buenos Aires,2,10
Unknown,1,1
Beirut,6,10
Lonquen,3,21
Karachi,3,7
Cintura,2,3
Jebil Basil,9,4
Morawewa,2,1
Santiago,3,2
Santiago,3,2
Morawewa*,9,14
Lima,1,4
Donostia-San Sebastian,6,1
Santiago,3,1
Santiago,3,13
Santiago,3,19
Santiago,3,1
Pueno Alto City,3,21
Ramat Gun,3,19
El Topacio,2,14
La Voragine,2,14
El Pance,2,14
Texistepeque,2,14
Texistepeque,2,14
Jalapa,7,1
Unknown,2,1
Unknown,2,1
Unknown,2,1
Unknown,2,1
Unknown,2,1
Unknown,2,1
Santa Clara,2,4
Jaffna,2,17
Panama de Mita,2,1
Cali,2,19
Cali,2,19
Sabah,3,19
Sabah,3,19
Sabah,3,19
Sabah,3,19
Sabah,3,19
Sabah,3,19
Sabah,3,19
Tawau,7,1
Bogota,2,3
Somotillo,2,4
Beirut,1,12
Beirut,1,7
Panama de Mita,6,14
Tuaran,7,1
Lima,3,21
Lima,3,3
Misamis Oriental,3,4
Bogota,2,3
Baton Rouge,7,5
Trincomalee,3,4
Lima,3,21
Lima,3,21
Lima,3,21
Lima,2,3
Lima,2,3
Lima,2,3
Lima,2,3
Lima,2,3
Donostia-San Sebastian,2,3
Chiclayo,1,3
Lima,1,4
Mindoro Oriental,1,3
Kilinochchi,3,19
Buttar,2,14
Wiwili,2,4
Negros Oriental,9,21
Negros Island,2,1
Belfast,8,14
Springs,3,2
Dobsonville,1,3
Jaffra,3,19
Medellin,3,3
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
San Salvador,3,21
Panama City,3,1
Panama City,3,1
Panama City,3,1
Frontino,2,4
Donostia-San Sebastian,2,3
Kilirochci,3,4
Bogota,1,3
Lima,1,3
Oork Lavalthurai,3,4
San Salvador,2,2
Panama City,3,1
Cali,2,3
Cali,2,4
El Caribe,2,14
Lima,3,7
Paris,3,19
Alacapan,6,9
Mamelodi,1,3
Germiston,3,8
Ponce,3,1
Concepcion,3,19
Athens,3,13
Sandakan,3,14
Sandakan,3,14
Sandakan,3,14
Sandakan,3,14
Castlewellan,3,1
Yalaguina,3,21
Beirut,6,7
Castlewellan,3,4
Mamelodi,1,3
Westminster,1,14
East Rand,3,15
Juanchito,2,3
Sindangan town,9,4
Jeanchito,1,3
Cairo,1,7
Cairo,1,14
Taran Taran,1,3
Beanfort Castle,1,4
Gonzaga,1,2
Caloto,3,3
unknown,3,3
Juanchito,3,19
Paris,3,19
Paris,3,14
South Delhi,1,14
Jerusalem,3,14
Sandakan,3,14
La Solana,5,14
Nothern Samar,2,8
Zumaia,1,17
Saravena,6,1
Toribio,2,14
Athens,3,13
Nedunkerry,3,14
Mullaitivu,3,4
Thondamannar,3,4
Malacatan,1,14
Lurin,1,14
Durban,3,21
Kukra Hill,2,4
Pueblo Nuevo,6,14
Bogota,6,1
Colombo,6,14
Alice Ciskei,3,13
Batala,2,14
Santa Clara,2,4
Teotecacinte,2,4
Guatemala City,1,13
Guatemala City,1,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Lima,3,2
Puwarthai,3,19
Tokyo,7,7
Tokyo,7,2
Unknown,1,3
Villa Marina,3,21
Pamplona,2,3
Vavuniya,3,3
Guatemala City,1,2
Tarn Taran,1,14
ICA,1,2
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Santiago,3,1
Athens,2,14
Athens,3,1
Athens,2,14
Athens,3,7
Beirut,3,2
Beirut,3,2
Lima,3,8
Lima,3,8
Lima,3,8
Lima,3,8
Lima,3,8
Anandpur Saheb,2,14
Punjab,2,14
Trujillo,5,10
Chiclayo,5,10
Santa Lucia,2,3
Pamplona,2,3
Ananpur,1,2
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Concepcion,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Valparaiso,3,1
Mountfield,1,4
Vosloorous,3,3
Melbourne,3,3
Athens,7,1
Peshawar,3,1
Huayacu,3,21
Tingo Maria,9,3
Gariala,1,2
La Paz,3,7
Amritsan,7,2
Kinniya village,3,4
Osaka,7,3
Osaka,7,1
Beirut,3,13
Ludhiana,2,14
Nice + Aix-in Provence,3,1
West Beirut,3,6
West Beirut,3,1
West Beirut,3,13
Lima,3,19
Punjab,2,14
Jalandhar,2,14
Misamis Oriental,6,14
West Berlin,3,7
West Berlin,7,3
West Berlin,7,18
San Pedro del Norte,2,4
La Pinuela,2,4
Loma Azul,2,4
San Sebastian de Yali,2,4
San Rafael del Norte,2,4
Yacalwas,2,19
Tokyo,3,2
Kampung Likas,3,13
Ulzen,3,19
Bangui,3,19
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Santiago,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Unknown,3,21
Lima,3,8
Arambala,2,4
Joateca,2,4
Tejutla,2,4
Torola,2,4
Jocoaitique,2,4
Jinotega,2,1
Beirut,6,8
Stuttgart,7,1
Feucht,3,3
Bet Shemesh,3,14
Tokyo,3,7
Rathcoole,7,3
Rathcoole,7,3
Belfast,2,19
Lisburn,2,19
Cabragh,3,14
Belfast,7,15
Belfast,7,3
Shankill,2,3
Bicol,2,4
Belfast,1,3
Athens,3,6
Lima,3,1
Lima,3,2
Lima,3,2
Lima,2,3
Churubamba,1,1
Lima,3,7
Lima,3,1
Lima,3,1
Lima,3,13
Lima,3,1
Khartown,3,1
Yanahorco,2,4
Maraycancha,2,4
Maraycancha,2,4
Vivaceta,2,19
Lota,3,19
West Berlin,3,1
Belfast,3,1
Tripura,2,14
Waspam,2,2
Jahua Nana,2,4
Jullundur,6,2
Santiago,3,1
Paris,7,2
Ponerihouen,7,1
Stockholm,3,1
Cali,2,3
La Toalla,2,4
Sicuani,7,21
Sicuani,3,21
Lima,1,3
Bangkok,3,14
Jerusalem,2,19
Afula,3,20
Jounieh,3,2
Hasbeya,3,4
Castlederg,3,3
Cali,2,3
Cali,2,3
Belfast,9,3
Corinto,9,14
Athens,1,1
Londonderry,1,3
Natal,9,2
Quezaltepeque,7,1
Unknown,2,4
La Tronca,2,4
Santiago,6,3
Beirut,6,8
Lisbon,3,6
Amritsar,2,19
Loma Lulugna,2,4
La Chorrea,1,1
Johannesburg,3,19
Sidon,3,14
Dhaka,3,19
Lima,3,1
Lima,3,8
Lima,3,1
Toribio,2,14
Ramallah,2,19
San Pedro del Norte,2,4
El Tuma,2,4
Cerro Quillon,2,4
Rio Bulbul,2,4
Buenos Aires,2,4
San Jose de Bocay,2,4
Matiguas,2,4
La Posolera,2,4
Lima,2,2
Florida,6,1
Lima,3,7
Soyapango,2,3
Sesori,2,4
Wasla,3,4
Madrid,9,1
Toribio,2,3
Turbo,2,1
Currulao,2,14
Bucaramanga,3,2
Rio Piedras,3,8
Santiago,3,1
Santiago,3,14
Santiago,3,19
Punta Arenas,3,13
Santiago,3,14
Santiago,3,14
Miranda,3,14
Barrancabermeja,3,13
Pamplona,3,2
Cucuta,3,2
Fussa,3,4
Truslaya,2,2
Le Vesinet,1,14
Khartoum,1,10
Bucanamanca,3,2
Bucanamanca,3,2
Bucanamanca,3,2
Bucanamanca,3,2
Talcahuano,3,21
Arioa,3,8
Santiago,2,19
Valparaiso,3,14
Valparaiso,3,14
Valparaiso,3,14
Bologna,7,7
Remedios,2,4
Asqui,7,2
Sinsin,6,2
Tunis,2,7
London,3,6
Burgstall,3,2
San Bartolome Perulapia,3,21
San Bartolome Perulapia,3,21
San Bartolome Perulapia,3,21
Tecoluca,2,4
Firozpur,2,3
Beirut,1,14
San Jose,3,7
Montevideo,3,2
Unknown,6,10
Bolzano,3,1
Postal,3,2
Ayahuanco,1,14
Ayahuanco,6,14
Polonnaruua,6,3
Bizana,3,1
Caracas,3,15
Mannar,1,14
Bilbao,3,7
Peshawar,3,6
Mania,3,14
Ramaya,2,4
Huancapi,2,4
Johannesburg,3,14
Songkla,3,7
Maputo,3,19
Lima,1,7
Chiclayo,2,3
Jaffna,3,4
Point Pedro,2,3
Alicia (Mindanao),1,2
Breyten/Chrissiesmeer district,3,4
Alexandra,9,3
Playas de Chimichagua,1,14
Briceno,1,1
Rani kere village,1,15
Santa Cruz,1,2
Santiago,3,15
Santiago,3,15
Santiago,3,15
Santiago,3,15
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Usulutan,3,21
Bastia,3,18
Chigordo,1,4
Newcastle,1,3
Lima,1,3
Colombo,3,3
Cala,3,2
Madrid,3,14
Anuradhapura,3,21
Heidenburg,2,14
Tuguegarao,2,4
London,3,6
Meyerspark,3,2
Madrid,3,3
Vienna,3,6
Vienna,3,6
Jinotega,2,1
Ecully,1,1
Mexico city,3,7
Lyon,3,1
Briceno,2,14
Beirut,3,1
Usulutan,2,4
Unknown,2,4
Trincomalee,3,1
Paime,1,2
Pietermaritzburg,9,3
Paris,3,14
Amritrar,1,2
Santiago,3,14
Santiago,3,8
New York City,7,6
San Juan,1,3
Santiago,3,7
Santa Cruz,3,6
Tzitzifes,7,1
Gaza Strip,1,14
Bucaramanga,6,14
Beirut,6,4
unknown,1,8
Colombo,3,6
Maracaibo,3,8
East Berlin,1,7
Donostia-San Sebastian,1,14
Belfast,8,14
Kirchheimbolanden,3,4
Jerusalem,3,1
Jerusalem,3,14
Huanta,3,14
Cisnero,2,4
Armenia,2,2
San Andres,2,4
El Playon,1,1
Medellin,1,3
medellin,1,1
Cisneros,2,4
Orrantia del Mar,1,4
Peshawar,3,14
Unknown,3,19
El Agustino,3,19
El Agustino,3,19
El Agustino,3,19
El Agustino,3,19
Amritrar,2,8
Sanagoran,1,2
Lima,1,3
Annankai,1,17
Johannesburg,3,1
Colombo,3,16
El Salto,2,14
Solana,2,4
San Salvador,1,13
W. Beirut,6,14
Belfast,1,14
Bogota,2,3
Bogota,2,3
San Felipe,2,3
Madrid,1,2
W. Beirut,1,4
Jujuy,3,3
Jujuy,3,3
Huanta,3,21
Huanta,3,21
Huanta,3,21
Huanta,3,16
Madrid,1,2
Cali,1,2
El Salto,2,14
Punqui,2,14
Lima,3,3
Atachucho,3,2
Mar del Plata,2,7
Bogota,3,6
Bogota,3,1
Bogota,3,1
Santiago,3,1
Santiago,3,9
Bogota,3,7
San Rafael Cedros,3,21
San Rafael Cedros,3,21
San Rafael Cedros,3,21
San Rafael Cedros,3,21
San Rafael Cedros,3,21
Huanta,3,14
Jambalo,2,4
Nuevo Eden de san Juan,2,4
Tecoluca,2,4
Nombre de Dios,2,4
Berlin,2,4
Pamplona,9,15
Santiago de Chuco,1,2
Rockford,7,5
Valparaiso,7,19
Valparaiso,7,19
Valparaiso,7,19
Valparaiso,7,19
Valparaiso,7,19
Valparaiso,7,19
Jakarta,3,7
Chosica,3,21
Chosica,3,21
Chosica,3,21
Metapan,2,4
Jakarta,3,7
Jakarta,3,7
Vacachacra,2,4
Palo Verde,7,21
Santiago,3,1
